location,size_sqft,total_expense,electricity_bill,electricity_usage,water_bill,water_usage,waste_produced,percent_waste_recycled,hvac_expenses,lighting_expenses,ghg_emissions
"San Francisco,CA",7000,23000,5100,8200,2500,19000,2300,95,3100,1700,16.8
"San Francisco,CA",7500,26000,5600,8700,2800,21000,2600,100,3300,1800,18.2
"San Francisco,CA",8000,28000,6100,9200,3100,23000,2900,105,3500,1900,19.5
"San Francisco,CA",8500,31000,6600,9700,3300,25000,3100,110,3700,2000,20.8
"San Francisco,CA",9000,33000,7100,10200,3600,27000,3400,115,3900,2100,22.1
"San Francisco,CA",9500,36000,7600,10700,3900,29000,3700,120,4100,2200,23.4
"San Francisco,CA",10000,39000,8100,11200,4200,31000,4000,125,4300,2300,24.8
"Miami,FL",5000,13500,3200,5600,1700,12000,1400,72,2100,1250,11.8
"Miami,FL",3000,9000,2600,4600,1250,10000,900,78,1600,950,8.5
"Miami,FL",4500,11000,2900,4900,1350,11500,1100,68,1850,1050,9.4
"Miami,FL",5500,16000,3700,6300,1900,13500,1600,80,2300,1350,13.0
"Miami,FL",6200,19000,4200,7300,2100,15500,1900,88,2600,1450,14.5
"Miami,FL",7000,21000,4700,7800,2300,17500,2100,92,2900,1650,16.0
"Miami,FL",7500,24000,5200,8300,2600,19500,2400,98,3100,1750,17.3
"Miami,FL",8000,26000,5700,8800,2900,21500,2700,102,3300,1850,18.7
"Miami,FL",8500,29000,6200,9300,3100,23500,2900,108,3500,1950,20.0
"Miami,FL",9000,31000,6700,9800,3400,25500,3200,112,3700,2050,21.3
"Miami,FL",9500,34000,7200,10300,3700,27500,3500,118,3900,2150,22.6
"Miami,FL",10000,37000,7700,10800,4000,29500,3800,122,4100,2250,24.0
"Seattle,WA",5000,14000,3200,5800,1700,12500,1400,72,2100,1250,11.8
"Seattle,WA",3000,9000,2600,4600,1250,10000,900,78,1600,950,8.5
"Seattle,WA",4500,11000,2900,4900,1350,11500,1100,68,1850,1050,9.4
"Seattle,WA",5500,16000,3700,6300,1900,13500,1600,80,2300,1350,13.0
"Seattle,WA",6200,19000,4200,7300,2100,15500,1900,88,2600,1450,14.5
"Seattle,WA",7000,21000,4700,7800,2300,17500,2100,92,2900,1650,16.0
"Seattle,WA",7500,24000,5200,8300,2600,19500,2400,98,3100,1750,17.3
"Seattle,WA",8000,26000,5700,8800,2900,21500,2700,102,3300,1850,18.7
"Seattle,WA",8500,29000,6200,9300,3100,23500,2900,108,3500,1950,20.0
"Seattle,WA",9000,31000,6700,9800,3400,25500,3200,112,3700,2050,21.3
"Seattle,WA",9500,34000,7200,10300,3700,27500,3500,118,3900,2150,22.6
"Seattle,WA",10000,37000,7700,10800,4000,29500,3800,122,4100,2250,24.0
"Boston,MA",5000,15000,3500,6000,1800,13000,1500,75,2200,1300,12.3
"Boston,MA",3000,10000,2800,4800,1300,11000,1200,65,1800,1100,9.1
"Boston,MA",4500,12000,3000,5000,1500,12000,1000,70,2000,1000,10.5
"Boston,MA",5500,18000,4000,7000,2000,15000,1800,85,2500,1400,14.0
"Boston,MA",6200,20000,4500,7500,2200,17000,2000,90,2800,1600,15.5
"Boston,MA",7000,22000,5000,8000,2500,19000,2200,95,3000,1700,16.8
"Boston,MA",7500,25000,5500,8500,2800,21000,2500,100,3200,1800,18.2
"Boston,MA",8000,27000,6000,9000,3000,23000,2700,105,3400,1900,19.5
"Boston,MA",8500,30000,6500,9500,3200,25000,3000,110,3600,2000,20.8
"Boston,MA",9000,32000,7000,10000,3500,27000,3200,115,3800,2100,22.1
"Boston,MA",9500,35000,7500,10500,3800,29000,3500,120,4000,2200,23.4
"San Diego,CA",5000,14000,3300,5800,1700,12500,1400,72,2100,1250,11.8
"San Diego,CA",3000,9000,2600,4600,1250,10000,900,78,1600,950,8.5
"San Diego,CA",4500,11000,2900,4900,1350,11500,1100,68,1850,1050,9.4
"San Diego,CA",5500,16000,3700,6300,1900,13500,1600,80,2300,1350,13.0
"San Diego,CA",6200,19000,4200,7300,2100,15500,1900,88,2600,1450,14.5
"San Diego,CA",7000,21000,4700,7800,2300,17500,2100,92,2900,1650,16.0
"San Diego,CA",7500,24000,5200,8300,2600,19500,2400,98,3100,1750,17.3
"San Diego,CA",8000,26000,5700,8800,2900,21500,2700,102,3300,1850,18.7
"San Diego,CA",8500,29000,6200,9300,3100,23500,2900,108,3500,1950,20.0
"San Diego,CA",9000,31000,6700,9800,3400,25500,3200,112,3700,2050,21.3
"San Diego,CA",9500,34000,7200,10300,3700,27500,3500,118,3900,2150,22.6
"San Diego,CA",10000,37000,7700,10800,4000,29500,3800,122,4100,2250,24.0
"Denver,CO",5000,13000,3100,5400,1600,11500,1300,68,2000,1200,11.0
"Denver,CO",3000,8500,2400,4400,1200,9000,800,75,1500,850,7.8
"Denver,CO",4500,10500,2700,4700,1300,10500,1100,62,1750,950,8.7
"Denver,CO",5500,15500,3500,6100,1800,12500,1500,78,2200,1250,12.0
"Denver,CO",6200,18500,4000,7100,2000,14500,1800,82,2500,1350,13.5
"Denver,CO",7000,20500,4500,7600,2200,16500,2000,88,2800,1550,15.0
"Denver,CO",7500,23500,5000,8100,2500,18500,2300,94,3000,1650,16.3
"Denver,CO",8000,25500,5500,8600,2800,20500,2600,98,3200,1750,17.7
"Denver,CO",8500,28500,6000,9100,3000,22500,2800,104,3400,1850,19.0
"Denver,CO",9000,30500,6500,9600,3300,24500,3100,108,3600,1950,20.3
"Denver,CO",9500,33500,7000,10100,3600,26500,3400,114,3800,2050,21.6
"Denver,CO",10000,36500,7500,10600,3900,28500,3700,118,4000,2150,23.0
